Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:15.8109280,Colision,OriginalSmallSedan(Clone)10,0.2000,675.83,8.02,639.33,13.89,676.46,7.52,640.02,2.87
00:00:15.8792294,Colision,OriginalSmallSedan(Clone)10,0.1842,675.82,7.84,639.29,13.62,676.50,7.51,639.84,1.51
00:00:15.9791656,Colision,OriginalSmallSedan(Clone)10,0.4817,675.55,7.85,639.49,13.78,676.53,7.51,639.70,1.57
00:00:16.1124117,Alto,OriginalSmallSedan(Clone)10,1.9552,674.24,7.86,640.57,13.89,676.57,7.52,639.51,1.62
00:00:16.1771140,Bajo,OriginalSmallSedan(Clone)10,3.1222,673.23,7.85,641.13,13.89,676.59,7.52,639.37,1.67
00:00:16.2446598,Bajo,OriginalSmallSedan(Clone)10,4.0483,672.47,7.84,641.50,13.81,676.61,7.52,639.27,1.70
00:00:17.5136117,Bajo,SmallSedanBlue2(Clone)1,4.4638,682.08,7.92,637.13,3.99,677.11,7.52,636.68,2.46
00:00:17.6470577,Bajo,SmallSedanBlue2(Clone)1,4.3044,681.94,7.93,637.38,4.15,677.17,7.52,636.33,2.54
00:00:17.7113548,Bajo,SmallSedanBlue2(Clone)1,4.2702,681.89,7.93,637.50,4.22,677.20,7.52,636.18,2.58
00:00:17.7782101,Bajo,SmallSedanBlue2(Clone)1,4.2416,681.81,7.93,637.67,4.32,677.24,7.52,635.98,2.63
00:00:17.8791393,Bajo,SmallSedanBlue2(Clone)1,4.2575,681.70,8.09,637.89,4.41,677.29,7.52,635.72,2.69
00:00:17.9440031,Bajo,SmallSedanBlue2(Clone)1,4.2973,681.64,8.09,638.01,4.48,677.32,7.52,635.56,2.72
00:00:24.3491083,Bajo,SmallSedanWhite(Clone)17,3.9175,686.68,7.21,600.53,0.00,685.59,6.85,605.01,7.47
00:00:24.4801289,Bajo,SmallSedanRed(Clone)6,4.5340,689.37,7.37,600.57,0.00,685.94,6.83,604.02,7.58
00:00:24.4801621,Bajo,SmallSedanWhite(Clone)17,2.9623,686.77,7.21,600.55,0.00,685.94,6.83,604.02,7.58
00:00:24.5420600,Bajo,SmallSedanRed(Clone)6,4.1530,689.37,7.36,600.57,0.00,686.09,6.82,603.59,7.62
00:00:24.5420990,Alto,SmallSedanWhite(Clone)17,2.4834,686.83,7.21,600.56,0.00,686.09,6.82,603.59,7.62
00:00:24.6099879,Bajo,SmallSedanRed(Clone)6,3.7581,689.37,7.36,600.57,0.00,686.25,6.81,603.16,7.66
00:00:24.6100282,Alto,SmallSedanWhite(Clone)17,1.9775,686.91,7.21,600.57,0.00,686.25,6.81,603.16,7.66
00:00:24.7117764,Bajo,SmallSedanRed(Clone)6,3.1937,689.37,7.35,600.57,0.00,686.51,6.80,602.44,7.73
00:00:24.7118147,Alto,SmallSedanWhite(Clone)17,1.2300,687.06,7.21,600.59,0.00,686.51,6.80,602.44,7.73
00:00:24.7777805,Colision,SmallSedanWhite(Clone)17,0.7306,687.13,7.21,600.60,0.00,686.73,6.80,601.85,7.78
00:00:24.8425216,Colision,SmallSedanWhite(Clone)17,0.7202,687.15,7.22,600.59,0.08,686.78,6.79,601.81,1.17
00:00:24.9434619,Colision,SmallSedanWhite(Clone)17,0.7048,687.21,7.25,600.57,0.02,686.83,6.79,601.78,0.48
00:00:25.0088750,Colision,SmallSedanWhite(Clone)17,0.7005,687.24,7.25,600.56,0.02,686.85,6.79,601.77,0.32
00:00:25.0761012,Colision,SmallSedanWhite(Clone)17,0.7044,687.27,7.24,600.55,0.02,686.86,6.79,601.76,0.13
00:00:25.1785871,Colision,SmallSedanWhite(Clone)17,0.7130,687.30,7.22,600.54,0.01,686.87,6.79,601.75,0.05
00:00:25.2422000,Colision,SmallSedanWhite(Clone)17,0.7209,687.31,7.20,600.54,0.02,686.87,6.79,601.76,0.12
00:00:25.3091418,Colision,SmallSedanWhite(Clone)17,0.7309,687.31,7.19,600.53,0.01,686.87,6.79,601.76,0.14
00:00:25.4100506,Colision,SmallSedanWhite(Clone)17,0.7411,687.30,7.20,600.52,0.00,686.86,6.80,601.76,0.10
00:00:25.4783713,Colision,SmallSedanWhite(Clone)17,0.7468,687.30,7.21,600.52,0.00,686.86,6.80,601.77,0.06
00:00:25.5429317,Colision,SmallSedanWhite(Clone)17,0.7505,687.30,7.21,600.52,0.00,686.86,6.80,601.77,0.04
00:00:25.6446202,Colision,SmallSedanWhite(Clone)17,0.7527,687.30,7.22,600.52,0.00,686.86,6.80,601.77,0.05
00:00:25.7094280,Colision,SmallSedanWhite(Clone)17,0.7515,687.30,7.21,600.52,0.00,686.86,6.80,601.77,0.08
00:00:25.7772874,Colision,SmallSedanWhite(Clone)17,0.7473,687.30,7.21,600.51,0.00,686.86,6.80,601.76,0.13
00:00:25.8789788,Colision,SmallSedanWhite(Clone)17,0.7337,687.31,7.20,600.51,0.00,686.87,6.80,601.75,0.20
00:00:25.9766439,Colision,SmallSedanWhite(Clone)17,0.7136,687.32,7.20,600.51,0.01,686.88,6.80,601.73,0.25
00:00:26.0442181,Colision,SmallSedanWhite(Clone)17,0.7113,687.32,7.21,600.51,0.01,686.89,6.80,601.72,0.12
00:00:26.1450952,Colision,SmallSedanWhite(Clone)17,0.7095,687.33,7.21,600.51,0.01,686.89,6.80,601.71,0.09
00:00:26.2102379,Colision,SmallSedanWhite(Clone)17,0.7083,687.33,7.21,600.50,0.01,686.90,6.80,601.71,0.08
00:00:26.3113306,Colision,SmallSedanWhite(Clone)17,0.7073,687.34,7.21,600.50,0.01,686.90,6.80,601.71,0.07
00:00:26.4462693,Colision,SmallSedanWhite(Clone)17,0.7066,687.34,7.20,600.49,0.00,686.91,6.80,601.70,0.06
00:00:26.5458643,Colision,SmallSedanWhite(Clone)17,0.7053,687.35,7.20,600.49,0.00,686.91,6.80,601.69,0.07
00:00:26.6807701,Colision,SmallSedanWhite(Clone)17,0.7033,687.35,7.20,600.48,0.00,686.92,6.80,601.68,0.09
00:00:26.7775190,Colision,SmallSedanWhite(Clone)17,0.7012,687.36,7.20,600.48,0.00,686.93,6.80,601.68,0.09
00:00:26.8785268,Colision,SmallSedanWhite(Clone)17,0.6989,687.36,7.21,600.47,0.01,686.93,6.80,601.67,0.08
00:00:26.9444166,Colision,SmallSedanWhite(Clone)17,0.6963,686.36,7.21,600.47,0.01,686.94,6.80,601.67,0.08
00:00:27.0097604,Colision,SmallSedanWhite(Clone)17,0.6926,686.37,7.21,600.47,0.01,686.94,6.80,601.67,0.07
00:00:27.1118124,Colision,SmallSedanWhite(Clone)17,0.6874,686.37,7.21,600.47,0.01,686.94,6.80,601.66,0.06
00:00:27.1788223,Colision,SmallSedanWhite(Clone)17,0.6843,686.37,7.21,600.47,0.00,686.95,6.80,601.66,0.06
00:00:27.2468244,Colision,SmallSedanWhite(Clone)17,0.6816,686.38,7.21,600.47,0.05,686.95,6.80,601.65,0.08
00:00:27.3800430,Colision,SmallSedanWhite(Clone)17,0.6930,686.37,7.21,600.46,0.12,686.95,6.80,601.65,0.01
00:00:27.5124637,Colision,SmallSedanWhite(Clone)17,0.7133,686.37,7.21,600.44,0.19,686.95,6.80,601.65,0.02
00:00:27.6472780,Colision,SmallSedanWhite(Clone)17,0.7506,686.37,7.21,600.41,0.27,686.95,6.80,601.66,0.05
00:00:27.7450269,Colision,SmallSedanWhite(Clone)17,0.7865,686.36,7.21,600.38,0.32,686.94,6.80,601.66,0.07
00:00:27.8807925,Colision,SmallSedanWhite(Clone)17,0.8493,686.35,7.21,600.33,0.40,686.94,6.80,601.67,0.10
00:00:27.9778476,Colision,SmallSedanWhite(Clone)17,0.9029,686.34,7.21,600.28,0.46,686.93,6.80,601.68,0.12
00:00:28.1117680,Colision,SmallSedanWhite(Clone)17,0.9788,686.33,7.21,600.23,0.52,686.93,6.80,601.70,0.15
00:00:28.2110039,Alto,SmallSedanWhite(Clone)17,1.0488,686.32,7.21,600.17,0.58,686.92,6.80,601.71,0.17
00:00:28.3464761,Alto,SmallSedanWhite(Clone)17,1.1355,686.32,7.21,600.08,0.66,686.92,6.80,601.72,0.01
00:00:28.4802916,Alto,SmallSedanWhite(Clone)17,1.2316,686.31,7.20,599.98,0.74,686.92,6.80,601.71,0.03
00:00:28.6126472,Alto,SmallSedanWhite(Clone)17,1.3177,686.31,7.20,599.89,0.80,686.92,6.80,601.71,0.08
00:00:28.7110898,Alto,SmallSedanWhite(Clone)17,1.3895,686.31,7.20,599.81,0.86,686.93,6.80,601.70,0.15
00:00:28.8472578,Alto,SmallSedanWhite(Clone)17,1.4901,686.31,7.20,599.68,0.94,686.94,6.80,601.67,0.25
00:00:28.9443735,Alto,SmallSedanWhite(Clone)17,1.5609,686.31,7.20,599.58,0.99,686.95,6.80,601.64,0.32
00:00:29.0820233,Alto,SmallSedanWhite(Clone)17,1.6611,686.32,7.20,599.44,1.07,686.97,6.80,601.60,0.42
00:00:29.1799887,Alto,SmallSedanWhite(Clone)17,1.7316,686.33,7.20,599.33,1.12,687.00,6.80,601.55,0.49
00:00:29.3124359,Alto,SmallSedanWhite(Clone)17,1.8100,686.35,7.20,599.18,1.19,687.02,6.80,601.50,0.57
00:00:29.4133064,Alto,SmallSedanWhite(Clone)17,1.8764,687.36,7.19,599.06,1.25,687.05,6.79,601.44,0.64
00:00:29.5461765,Alto,SmallSedanWhite(Clone)17,1.9667,687.39,7.19,598.89,1.32,687.09,6.79,601.35,0.74
00:00:29.6467430,Alto,SmallSedanWhite(Clone)17,2.0274,687.41,7.19,598.76,1.38,687.13,6.79,601.28,0.81
00:00:29.7809732,Alto,SmallSedanWhite(Clone)17,2.1151,687.44,7.19,598.57,1.46,687.18,6.79,601.18,0.91
00:00:29.8788092,Alto,SmallSedanWhite(Clone)17,2.1747,687.46,7.19,598.43,1.51,687.22,6.79,601.09,0.96
00:00:30.0501502,Alto,SmallSedanWhite(Clone)17,2.2639,687.46,7.19,598.18,1.60,687.29,6.79,600.94,1.07
00:00:30.1796912,Alto,SmallSedanWhite(Clone)17,2.3560,687.46,7.18,597.96,1.68,687.36,6.79,600.80,1.17
